RecID,Brightness,Weight,Precip,LaneChanges,Speed,PulledOver
R4057320,8,9,1,3,62.7,y
R5059650,10,5,0,0,63.5,y
R3121448,9,5,4,3,61.4,n
R4136349,8,5,4,2,58.7,n
R3125500,8,6,4,3,60.6,n
R3010219,7,7,3,1,60.8,y
R5043527,0,4,1,3,60.3,n
R1066705,5,7,4,2,61.9,n
R4018720,2,9,4,2,62.6,n
R1010835,5,6,2,2,58.1,y
R4063192,7,4,2,2,59.9,y
R4010139,7,2,6,2,62.5,n
R4083647,6,2,4,0,62.2,n
R1010316,2,7,3,2,60.2,y
R5044198,7,7,0,1,58.4,n
R5096294,0,1,4,2,61.1,n
R1046033,3,2,6,3,58.6,n
R5067653,9,3,4,1,64.9,n
R3111540,4,8,4,3,60.0,n
R6026994,1,8,3,1,58.1,y
R3021606,6,1,0,0,62.7,y
R3105676,1,5,4,4,59.2,n
R5021594,4,3,5,3,62.0,n
R3085811,4,4,5,0,60.2,n
R1023106,10,1,1,1,57.3,y
R6055136,5,3,3,0,58.5,y
R2017846,10,4,1,2,63.3,y
R4022576,6,5,1,3,60.1,y
R0131436,5,4,5,3,62.2,n
R1128674,6,2,4,3,59.3,n
R3039287,10,4,0,2,60.4,n
R0056956,1,8,1,1,61.4,y
R3050148,7,9,0,3,57.8,y
R0116540,0,10,4,3,60.5,n
R2145642,2,3,4,3,63.0,n
R1125640,8,4,4,4,58.6,n
R6060602,8,5,2,0,58.4,y
R3063267,5,5,4,3,60.3,n
R3094424,1,9,4,0,59.1,n
R4014505,10,6,2,1,61.5,y
R0037132,7,8,3,1,58.2,y
R2071116,4,9,4,1,58.7,n
R0013079,9,10,2,1,58.7,y
R4058657,5,9,3,0,61.4,y
R4066146,7,4,5,0,60.3,n
R0014023,4,6,2,0,59.2,y
R2129645,10,8,4,2,61.1,n
R6068942,1,9,4,1,58.8,n
R2048439,2,9,3,1,58.0,y
R4084934,4,3,4,3,56.7,n
R5042853,2,5,0,2,60.8,n
R2022054,9,8,0,2,60.5,y
R4046911,10,1,2,3,56.8,y
R1123824,0,6,4,3,59.5,n
R2098672,6,7,5,2,59.7,n
R1057597,6,4,1,1,58.0,y
R5131711,7,4,4,4,60.4,n
R1066940,8,3,4,2,60.8,n
R5145011,2,6,4,3,59.3,n
R2060945,1,8,4,0,57.5,n
R4063405,8,2,0,1,57.1,y
R4016933,7,3,2,1,57.9,y
R5056226,4,7,0,2,57.1,y
R1026872,8,9,0,2,65.8,y
R4037687,3,9,4,0,56.5,n
R3071455,2,6,4,0,58.6,n
R3074054,8,6,4,2,60.4,n
R4052081,5,8,5,2,58.5,n
R0057072,0,9,3,2,60.7,y
R4017113,7,9,0,2,58.3,y
R1023932,1,6,0,0,57.5,y
R4044211,5,9,3,1,61.3,n
R4013821,2,2,2,1,63.4,y
R4023843,8,8,5,0,60.6,n
R0032349,8,8,1,1,57.0,y
R3016301,1,6,3,3,59.5,y
R2097048,7,9,4,3,63.8,n
R1093566,3,9,5,1,61.7,n
R3054182,5,9,2,1,59.8,y
R5012189,8,10,2,2,56.9,y
R5120839,2,5,4,4,61.3,n
R1023689,0,8,2,0,59.9,y
R2061408,2,7,2,2,61.7,y
R0055944,8,6,4,1,56.2,n
R3053645,7,3,3,1,56.7,y
R5026447,6,8,2,1,59.0,y
R4045774,7,2,1,2,59.7,y
R3127715,1,3,4,1,61.5,n
R3081425,10,2,4,3,60.7,n
R2044804,7,3,1,0,59.0,n
R3074569,0,9,4,2,59.3,n
R3018092,8,3,0,2,60.6,y
R4059401,9,3,4,0,60.5,n
R4022166,6,6,3,3,59.0,y
R3025418,10,5,2,0,59.6,y
R3021119,8,2,3,3,59.3,y
R4026709,9,2,1,1,62.9,y
R2081531,2,3,4,0,58.3,n
R1060800,1,4,0,2,59.3,y
R0060100,3,9,4,1,58.7,n
R2061103,1,3,2,2,62.1,y
R1045022,7,9,2,3,59.3,n
R3060757,2,8,2,1,63.3,y
R3058237,9,7,2,3,60.7,y
R1088752,9,3,6,1,59.4,n
R1059846,7,10,2,2,59.4,y
R4057289,6,4,0,2,57.4,y
R6053466,1,4,3,3,58.2,y
R3059798,5,9,0,3,60.6,y
R1101440,10,7,4,1,60.2,n
R3032748,9,2,2,2,58.3,y
R6015248,3,6,0,1,61.3,y
R1056062,3,2,1,1,60.9,y
R3037783,6,7,0,2,56.6,y
R2062014,7,2,2,1,59.7,y
R2034231,5,4,3,3,58.9,y
R5038373,8,2,3,1,60.3,y
R1067519,8,7,4,1,59.6,n
R3013343,1,2,4,2,59.2,n
R2043814,3,10,3,1,60.5,n
R2093015,5,6,5,1,58.6,n
R0058041,3,7,3,2,60.3,y
R3020155,9,10,1,1,57.0,y
R0014388,3,8,4,3,59.9,n
R4047476,3,8,0,0,56.6,y
R2031639,0,6,0,3,62.0,y
R4011674,2,7,0,3,59.4,y
R5035611,0,7,5,2,60.1,n
R4017793,3,6,2,0,58.0,y
R5012528,0,3,0,2,61.5,y
R1132698,4,2,4,4,60.0,n
R5031978,2,9,2,1,56.4,y
R3055666,2,8,2,1,61.7,y
R6032503,0,7,3,2,59.5,y
R6056642,9,8,1,2,61.2,y
R2011212,7,5,2,3,59.6,y
R0107642,9,9,4,1,62.2,n
R4095876,0,6,4,2,60.5,n
R4027569,9,3,2,1,61.7,y
R0033295,3,4,0,2,61.2,y
R3035445,2,1,0,1,60.6,y
R5038640,7,2,3,0,62.1,n
R5026242,7,8,3,3,57.3,y
R4111739,9,7,4,2,61.7,n
R0048324,6,6,3,2,59.0,y
R1080499,3,6,4,0,59.7,n
R6028703,9,2,3,2,55.4,y
R0019775,4,2,0,3,58.9,y
R1010557,8,5,0,1,62.9,y
R5053088,0,5,5,1,57.3,n
R5120578,4,2,6,4,60.5,n
R1126245,0,3,4,4,61.7,n
R3032296,7,6,5,3,59.9,n
R6012972,6,2,4,2,61.4,n
R0052533,2,4,4,2,60.7,n
R1030975,2,7,4,1,61.2,n
R2035089,10,2,0,1,58.0,y
R3056881,1,5,3,1,61.0,y
R4054506,9,8,3,1,59.8,y
R2051948,0,4,3,1,60.0,y
R5031213,6,5,0,1,58.8,y
R5105803,2,9,4,5,60.7,n
R4028006,5,7,2,2,58.4,y
R1062799,5,4,4,1,63.2,n
R3132934,3,9,6,2,60.7,n
R3042140,7,7,2,1,60.5,n
R4017343,3,5,3,0,60.9,y
R1083116,7,4,4,0,60.1,n
R3053391,0,1,0,2,62.2,y
R4024532,7,5,2,2,59.3,y
R3141812,6,2,5,5,59.7,n
R4056768,9,2,2,3,57.8,y
R4079702,0,8,4,2,57.7,n
R5142373,9,4,4,2,63.1,n
R1016871,2,5,3,1,64.9,y
R3068493,3,9,4,1,59.0,n
R5030426,4,4,0,1,56.9,y
R6060477,6,2,3,2,57.1,y
R3017949,3,2,5,1,58.8,n
R5043609,3,8,4,2,60.5,y
R2130187,0,7,4,3,59.5,n
R3028535,3,7,3,2,59.3,y
R2083003,1,8,6,2,57.9,n
R6150214,2,3,4,2,59.6,n
R5101828,0,7,4,2,59.5,n
R6090900,7,2,5,2,61.3,n
R1146929,9,1,4,3,62.9,n
R5015872,0,5,0,2,59.5,y
R6054700,9,9,2,0,62.5,y
R3027865,0,9,4,1,59.9,n
R0078105,1,9,4,2,62.5,n
R4051844,6,7,2,2,60.4,y
R2055445,9,4,2,2,55.0,y
R2137823,1,10,5,3,57.0,n
R3048893,10,8,4,1,57.2,n
R3038834,4,7,3,3,57.5,n
R1018858,6,7,3,1,60.4,y
R3015442,2,8,5,2,59.0,n
R2023578,6,5,4,3,61.5,n
R3052727,10,8,3,1,59.1,y
R3041682,5,6,3,1,60.1,n
R5056167,5,7,0,0,60.1,y
R2014633,9,7,3,1,59.5,y
R5116961,5,5,4,1,62.8,n
R3112434,1,7,4,3,60.2,n
R3107507,1,5,6,3,60.0,n
R3029616,3,6,3,1,58.9,y
R6040987,8,3,2,2,61.1,n
R3062827,4,5,3,1,61.8,y
R2058121,8,3,0,1,57.0,y
R5100977,8,3,4,5,60.0,n
R4145783,2,7,4,3,57.7,n
R6050245,2,7,0,3,62.2,y
R3062378,10,7,2,2,61.0,y
R0048154,1,8,3,1,64.3,y
R6091574,3,7,4,1,63.3,n
R1150604,2,6,4,1,56.2,n
R1032163,3,5,2,0,60.3,y
R3039131,3,9,0,0,62.8,n
R6030039,7,6,4,3,57.0,n
R5030330,6,6,4,2,60.0,n
R4062275,4,7,0,3,59.1,y
R2030113,1,3,1,1,61.4,y
R5014206,7,5,0,1,60.2,y
R0096000,7,6,4,3,63.6,n
R4116725,9,3,5,4,60.7,n
R4055868,4,7,2,2,60.6,y
R1022491,7,7,2,1,63.1,y
R4033151,6,3,0,3,60.0,y
R2085087,5,1,5,2,55.3,n
R0022816,1,5,2,3,59.9,y
R0098283,8,4,4,3,61.2,n
R3016584,1,6,0,3,59.6,y
R3020400,5,5,4,2,57.4,n
R6024892,5,4,0,1,62.9,y
R6060336,7,9,4,3,58.4,n
R4084474,7,4,4,1,60.3,n
R4083435,4,8,4,1,59.8,n
R4034061,10,2,0,1,58.3,y
R1035205,1,1,2,0,59.6,y
R3065996,9,5,4,1,58.6,n
R4012299,9,8,0,3,58.6,y
R4137232,0,9,5,1,59.1,n
R1114341,0,2,4,4,55.1,n
R6018650,9,6,3,2,61.1,y
R4063828,6,9,4,2,62.0,n
R6015044,5,3,2,0,60.9,y
R4049200,2,5,2,2,60.5,y
R0080689,9,6,7,1,59.9,n
R5148166,10,4,4,2,59.9,n
R3095252,6,6,4,2,61.7,n
R5052692,1,5,5,2,61.1,n
R6011939,7,2,1,2,61.4,y
R5011041,9,5,4,3,59.4,n
R4029568,9,2,0,2,58.0,y
R4054636,5,7,2,3,60.0,y
R4027642,1,1,3,2,63.6,y
R3128147,9,2,5,2,57.3,n
R1028991,4,6,3,1,60.3,y
R4058415,4,6,2,3,55.9,y
R2011547,6,4,0,2,60.2,y
R4075294,9,10,4,2,60.6,n
R5041792,3,6,3,0,59.4,n
R4140479,5,6,4,4,59.7,n
R1034712,8,6,0,3,58.7,y
R1142909,1,1,4,4,61.6,n
R3042358,4,9,4,1,63.1,y
R5058369,8,6,3,2,59.5,y
R1028239,9,3,3,3,57.9,y
R4046360,8,7,3,2,59.3,y
R1027927,8,8,3,1,63.4,y
R4029302,6,2,2,3,58.3,y
R5026345,2,9,2,2,60.8,y
R5087078,8,8,4,0,60.9,n
R4111438,9,3,5,2,63.6,n
R2021339,6,1,3,3,61.5,y
R5059266,2,2,3,1,58.4,y
R1092242,3,6,5,3,62.0,n
R1039028,9,4,1,2,60.6,n
R4029725,2,5,0,2,61.4,y
R4028394,8,9,6,1,57.3,n
R2046256,3,7,1,2,56.0,y
R2041376,0,6,2,2,58.8,n
R6033946,7,5,3,1,60.7,y
R2018445,9,8,3,0,58.9,y
R5053184,8,4,4,3,60.6,n
R2090287,6,7,5,3,61.3,n
R3043060,3,10,4,1,63.4,y
R5013290,5,6,6,1,57.9,n
R1031541,1,4,1,0,60.5,y
R4021006,2,3,0,1,62.6,y
R2034814,8,6,4,3,59.8,n
R2058727,2,8,3,1,58.0,y
R5120754,2,2,5,2,65.4,n
R4025566,9,2,2,0,62.6,y
R4059504,7,3,3,0,61.2,y
R1049394,5,3,3,0,64.0,y
R3011392,2,6,4,2,60.0,n
R2104796,2,3,5,4,61.2,n
R4036936,10,6,2,1,59.6,y
R1033716,6,8,0,0,62.4,y
R5017572,10,7,4,3,57.8,n
R1074788,0,5,5,0,62.5,n
R0068301,4,10,5,1,57.4,n
R2091676,2,9,4,1,63.5,n
R2135549,1,2,4,3,58.7,n
R1051313,1,3,0,0,56.1,y
R5033884,8,4,3,0,61.1,y
R5070695,3,6,5,1,63.4,n
R2039690,8,1,0,2,59.5,n
R0036096,3,3,4,1,61.0,n
R3018526,9,3,4,2,61.4,n
R6058928,10,3,3,1,63.7,y
R1019324,9,4,4,1,58.4,n
R3042797,4,9,2,1,60.1,n
R1010401,1,1,3,3,61.2,y
R6099017,9,4,4,1,59.6,n
R5115827,6,1,4,2,61.2,n
R5040389,8,7,4,3,63.9,y
R1128493,1,8,4,3,59.7,n
R0149583,2,6,6,4,60.3,n
R0016657,1,6,3,1,62.3,y
R2147407,1,4,4,3,59.0,n
R0050499,2,6,3,2,56.3,y
R3045931,6,5,2,1,58.6,y
R1097827,1,1,4,2,60.3,n
R3046674,5,5,0,0,62.8,y
R4014802,3,10,1,2,57.8,y
R1053531,4,2,3,2,56.2,y
R0052117,9,9,2,3,63.0,y
R2075173,2,5,4,0,60.1,n
R1010626,6,9,0,1,60.5,y
R4032802,5,7,2,1,60.0,y
R1025311,5,10,2,1,57.0,y
R2121855,8,3,4,3,65.4,n
R2037488,9,10,3,3,59.5,y
R4045680,5,1,1,1,55.6,y
R4031310,10,9,1,2,60.4,y
R4108161,1,6,4,4,60.9,n
R3048291,8,8,4,1,61.0,n
R4133482,9,2,6,3,60.4,n
R6010919,5,6,5,2,62.0,n
R0028601,8,6,0,0,62.2,y
R2060529,9,2,2,2,58.3,y
R6014188,4,4,0,3,61.9,y
R4120429,8,3,5,5,56.1,n
R6018368,7,5,4,2,59.0,n
R4049626,0,10,0,0,62.2,y
R5033503,6,3,0,1,59.3,y
R6093449,1,1,4,1,62.0,n
R0074383,3,7,4,1,61.8,n
R0024252,4,4,4,1,58.5,n
R4015301,1,8,2,1,58.3,y
R2043134,2,9,1,3,62.0,n
R3061018,7,2,3,2,58.1,y
R3061848,5,7,3,0,60.4,y
R4012303,4,2,2,1,59.7,y
R3134998,10,5,4,2,60.2,n
R1019081,5,7,0,0,62.4,y
R1019907,8,7,3,3,64.9,y
R6033305,2,10,3,3,63.3,y
R4029008,5,9,0,2,60.9,y
R4038202,6,6,4,2,60.2,n
R2062426,10,2,3,1,59.2,y
R6056578,3,5,3,0,60.2,y
R3075485,2,10,4,1,59.5,n
R4015156,4,2,4,2,62.5,n
R5037336,9,2,3,3,59.9,y
R3128255,9,4,4,2,58.4,n
R5027457,0,3,2,1,60.2,y
R6128009,0,8,4,2,58.1,n
R4027729,6,3,4,0,63.5,n
R0138695,10,4,4,2,59.1,n
R5045260,1,5,1,2,60.9,n
R0020652,9,1,3,2,60.2,y
R0042283,0,9,3,3,57.9,n
R5082238,3,2,4,2,60.0,n
R2041526,6,8,1,1,59.3,n
R4047537,9,6,2,2,58.6,y
R2073075,1,2,5,2,58.4,n
R6019557,1,3,1,2,61.0,y
R3025269,4,5,1,2,56.4,y
R1049730,7,4,2,1,60.7,y
R3107118,10,4,5,2,60.2,n
R3030571,8,4,3,3,61.7,y
R3076501,7,6,4,1,57.6,n
R3046112,1,5,5,3,58.8,n
R0138092,0,7,4,1,59.4,n
R3099995,1,3,4,2,60.8,n
R5043907,7,8,2,0,58.1,n
R3147726,6,6,4,4,60.4,n
